city,date,team1,team2,toss_winner,toss_decision,winner,First Innings Score
Dubai,28/09/2020,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,
Dubai,05/11/2020,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,
Abu Dhabi,06/11/2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,
Abu Dhabi,08/11/2020,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,
Dubai,10/11/2020,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,
Dubai,19/09/2021,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,156
Abu Dhabi,20/09/2021,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Kolkata Knight Riders,92
Dubai,21/09/2021,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Rajasthan Royals,185
Dubai,22/09/2021,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Delhi Capitals,134
Abu Dhabi,23/09/2021,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,156
Sharjah,24/09/2021,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,156
Abu Dhabi,25/09/2021,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,154
Sharjah,25/09/2021,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,field,Kings XI Punjab,125
Abu Dhabi,26/09/2021,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,171
Dubai,26/09/2021,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,165
Dubai,27/09/2021,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,Sunrisers Hyderabad,164
Sharjah,28/09/2021,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Kolkata Knight Riders,127
Abu Dhabi,28/09/2021,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Mumbai Indians,135
Dubai,29/09/2021,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,149
Sharjah,30/09/2021,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,134
Dubai,01/10/2021,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,
Sharjah,02/10/2021,Mumbai Indians,Delhi Capitals,,,,
Abu Dhabi,02/10/2021,Rajasthan Royals,Chennai Super Kings,,,,
Sharjah,03/10/2021,Royal Challengers Bangalore,Kings XI Punjab,,,,
Dubai,03/10/2021,Kolkata Knight Riders,Sunrisers Hyderabad,,,,
Dubai,04/10/2021,Delhi Capitals,Chennai Super Kings,,,,
Sharjah,05/10/2021,Rajasthan Royals,Mumbai Indians,,,,
Abu Dhabi,06/10/2021,Royal Challengers Bangalore,Sunrisers Hyderabad,,,,
Dubai,07/10/2021,Chennai Super Kings,Kings XI Punjab,,,,
Sharjah,07/10/2021,Kolkata Knight Riders,Rajasthan Royals,,,,
Abu Dhabi,08/10/2021,Sunrisers Hyderabad,Mumbai Indians,,,,
Dubai,08/10/2021,Royal Challengers Bangalore,Delhi Capitals,,,,
Dubai,10/10/2021,,,,,,
Sharjah,11/10/2021,,,,,,
Sharjah,13/10/2021,,,,,,
Dubai,15/10/2021,,,,,,
